Nama Provinsi,cnr,kepadatan,sanitasi,miskin
Aceh,230,97,78.85,11.45
Sumatera Utara,320,214,84.18,8.15
Sumatera Barat,268,137,70.97,5.95
Riau,210,76,84.58,6.68
Jambi,194,77,83.04,7.58
Sumatera Selatan,262,102,80.54,11.78
Bengkulu,175,104,80.28,14.04
Lampung,208,270,84.58,11.11
Kepulauan Bangka Belitung,197,91,93.21,4.52
Kepulauan Riau,284,263,91.1,5.69
DKI Jakarta,538,17153,93.5,4.44
Jawa Barat,403,1347,74.88,7.62
Jawa Tengah,233,1110,85.2,10.77
DI Yogyakarta,159,1174,96.42,11.04
Jawa Timur,210,867,83.72,10.35
Banten,380,1333,86.41,6.17
Bali,117,777,95.7,4.25
Nusa Tenggara Barat,208,286,85.11,13.85
Nusa Tenggara Timur,166,121,75.67,19.96
Kalimantan Barat,251,38,79.89,6.71
Kalimantan Tengah,200,18,76.31,5.11
Kalimantan Selatan,236,114,82.89,4.29
Kalimantan Timur,292,32,91.21,6.11
Kalimantan Utara,251,11,84.22,6.45
Sulawesi Utara,378,183,85.91,7.38
Sulawesi Tengah,246,51,75.8,12.41
Sulawesi Selatan,279,207,93.69,8.7
Sulawesi Tenggara,238,76,88.99,11.43
Gorontalo,390,103,81.72,15.15
Sulawesi Barat,236,87,80.73,11.49
Maluku,272,41,78.17,16.42
Maluku Utara,263,41,80.64,6.46
Papua,666,13,43,26.03
Papua Barat,493,9,76.3,20.49
